Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Variant SKU,Variant Price,Variant Compare At Price,Variant Weight,Variant Weight Unit,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Collection,Status
datejust-16,Datejust - 16,<p>DATEJUST</p>,Gharyaal,Accessories > Jewelry > Watches,Watches,"luxury,luxury,automatic,super-clone,datejust",TRUE,DATEJUST-16,25000,35000,150,g,TRUE,TRUE,https://gharyaalbytaimour.com/data/images/IMG_2287.jpg,Datejust - 16 - Image 1,,active
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3754.jpg,Datejust - 16 - Image 2,,
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3755.jpg,Datejust - 16 - Image 3,,
datejust-17,Datejust - 17,<p>DATEJUST</p>,Gharyaal,Accessories > Jewelry > Watches,Watches,"luxury,luxury,automatic,super-clone,datejust",TRUE,DATEJUST-17,25000,35000,150,g,TRUE,TRUE,https://gharyaalbytaimour.com/data/images/IMG_2288.jpg,Datejust - 17 - Image 1,,active
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3754.jpg,Datejust - 17 - Image 2,,
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3755.jpg,Datejust - 17 - Image 3,,
datejust-18,Datejust - 18,<p>DATEJUST</p>,Gharyaal,Accessories > Jewelry > Watches,Watches,"luxury,luxury,automatic,super-clone,datejust",TRUE,DATEJUST-18,25000,35000,150,g,TRUE,TRUE,https://gharyaalbytaimour.com/data/images/IMG_2289.jpg,Datejust - 18 - Image 1,,active
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3754.jpg,Datejust - 18 - Image 2,,
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3755.jpg,Datejust - 18 - Image 3,,
datejust-19,Datejust - 19,<p>DATEJUST</p>,Gharyaal,Accessories > Jewelry > Watches,Watches,"luxury,luxury,automatic,super-clone,datejust",TRUE,DATEJUST-19,25000,35000,150,g,TRUE,TRUE,https://gharyaalbytaimour.com/data/images/IMG_2292.jpg,Datejust - 19 - Image 1,,active
